model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
XGBoost_Tuned,0.995583,0.829532,0.000986,0.048429,69.97,hypothyroid,medium
CatBoost_Tuned,0.9947,0.939265,0.000964,0.021549,172.93,hypothyroid,medium
TabICL,0.0,,0.0,,1.48,hiva_agnostic,medium
LightGBM_TD,0.0,,0.0,,0.0,hiva_agnostic,medium
CatBoost_TD,0.0,,0.0,,3.38,hiva_agnostic,medium
AutoGluon_Extreme,0.0,,0.0,,3612.86,hiva_agnostic,medium
LightGBM_Tuned,0.0,,0.0,27.080308,0.99,hiva_agnostic,medium
XGBoost_Tuned,0.0,,0.0,27.063836,85.78,hiva_agnostic,medium
CatBoost_Tuned,0.0,,0.0,27.46228,224.01,hiva_agnostic,medium
TabICL,0.695652,0.609988,0.425159,0.618255,0.76,spambase,medium
LightGBM_TD,0.663043,0.64185,0.481267,0.744706,0.01,spambase,medium
XGBoost_TD,0.630435,0.62163,0.402961,0.997505,0.05,spambase,medium
CatBoost_TD,0.663043,0.606924,0.326524,0.941606,13.57,spambase,medium
AutoGluon_Default,0.684783,0.615196,0.380273,0.602254,4.25,spambase,medium
AutoGluon_Extreme,0.684783,0.632047,0.42154,0.597486,2012.38,spambase,medium
LightGBM_Tuned,0.684783,0.595282,0.380273,0.676689,2.19,spambase,medium
XGBoost_Tuned,0.663043,0.596814,0.414208,0.688589,14.92,spambase,medium
CatBoost_Tuned,0.684783,0.615809,0.380273,0.601312,110.77,spambase,medium
TabICL,0.993266,0.999988,0.993162,0.014357,1.01,waveform-5000,medium
LightGBM_TD,0.909091,0.993802,0.906993,0.339509,0.37,waveform-5000,medium
XGBoost_TD,0.868687,0.990223,0.865131,0.401234,0.41,waveform-5000,medium
CatBoost_TD,0.942761,0.998229,0.940929,0.225585,2.82,waveform-5000,medium
AutoGluon_Default,0.949495,0.997319,0.947848,0.323665,101.74,waveform-5000,medium
AutoGluon_Extreme,0.973064,0.999264,0.971966,0.089783,3616.76,waveform-5000,medium
LightGBM_Tuned,0.912458,0.994363,0.910665,0.320971,63.06,waveform-5000,medium
XGBoost_Tuned,0.882155,0.992867,0.87959,0.351027,232.49,waveform-5000,medium
CatBoost_Tuned,0.949495,0.998341,0.947172,0.253784,374.21,waveform-5000,medium
TabICL,0.967333,0.944572,0.890762,0.112125,1.37,churn,medium
LightGBM_TD,0.963333,0.934599,0.886389,0.142104,0.07,churn,medium
XGBoost_TD,0.958,0.936573,0.872073,0.154032,0.08,churn,medium
CatBoost_TD,0.961333,0.941517,0.885347,0.131741,12.88,churn,medium
AutoGluon_Default,0.96,0.940653,0.870757,0.149106,12.32,churn,medium
AutoGluon_Extreme,0.969333,0.940309,0.907603,0.121533,3600.09,churn,medium
LightGBM_Tuned,0.958,0.927048,0.862657,0.144159,44.73,churn,medium
